Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Loan_Purpose,Origination_Date,Credit_Score,Interest_Rate,Loan_Term_Months,Monthly_Installment,Number_of_Active_Loans,Total_Debt,Debt_to_Income,Loan_to_Income,Previous_Defaults,Days_Past_Due,Payment_History_Ratio,Credit_Utilization,Collateral_Type,Default_Flag,Loan_Status
LOAN_00977,CUST_08733,Mortgage,82319.43,Refinance,2024-09-16,616,7.49,120,976.72,2,94045.73,0.6991,2.4551,0,9,0.9508,0.2295,Residential Property,0,Grace Period
LOAN_00978,CUST_02507,Consumer,5501.85,Electronics Purchase,2024-04-21,550,8.52,36,173.73,1,12208.34,0.2262,0.5971,1,5,0.9338,0.4548,None,0,Grace Period
LOAN_00979,CUST_02781,Consumer,12438.65,Electronics Purchase,2021-06-06,585,8.71,18,739.66,1,15020.64,0.3309,0.4637,2,58,0.6841,0.4363,Furniture,0,Late (31-90 days)
LOAN_00980,CUST_01315,Mortgage,61397.3,Second Home,2025-05-24,547,9.2,300,523.68,1,72020.07,0.4648,4.5413,0,0,0.9952,0.6469,Land,0,Current
LOAN_00981,CUST_04464,Mortgage,55643.3,Land Purchase,2025-01-09,503,9.69,180,587.44,1,138895.07,0.783,6.1807,0,6,0.9509,0.7267,Land,1,Default
LOAN_00982,CUST_03683,Personal,58260.87,Home Improvement,2024-11-04,654,7.23,24,2614.57,2,117015.67,0.9361,0.8691,0,3,0.9632,0.1648,Fixed Deposit,0,Grace Period
LOAN_00983,CUST_06571,Consumer,7388.79,Appliances,2023-12-26,604,8.65,6,1262.72,1,12519.23,0.9679,0.472,0,2,0.9918,0.0971,Electronics,1,Default
LOAN_00984,CUST_01507,Auto,18359.14,New Car Purchase,2024-12-12,512,10.12,60,391.16,3,32430.8,1.0832,1.4122,1,21,0.7989,0.4121,Used Vehicle,0,Late (16-30 days)
LOAN_00985,CUST_02894,Personal,17499.02,Emergency Fund,2019-04-23,512,10.33,12,1541.13,2,37929.39,1.5,1.1759,1,33,0.8127,0.6848,None,1,Late (31-90 days)
LOAN_00986,CUST_02525,Personal,20355.35,Relocation,2024-04-15,618,6.8,36,626.65,4,45686.25,1.3045,0.8828,0,20,0.9331,0.234,None,0,Late (16-30 days)
LOAN_00987,CUST_01153,Auto,6553.67,Commercial Vehicle,2025-04-24,590,8.78,24,298.74,2,7008.75,0.6729,0.6151,0,5,0.9409,0.2001,Used Vehicle,0,Grace Period
LOAN_00988,CUST_05896,Personal,81613.98,Wedding,2025-04-15,688,5.18,24,3587.1,1,117733.83,0.5585,1.0589,0,0,1.0,0.1466,None,0,Current
LOAN_00989,CUST_07797,Mortgage,17763.51,Primary Residence,2023-03-22,550,9.95,360,155.23,2,28239.67,1.4297,6.817,0,3,0.9662,0.2136,Commercial Property,0,Grace Period
LOAN_00990,CUST_04565,Mortgage,98434.17,Investment Property,2025-05-10,628,6.69,360,634.52,1,122319.11,0.3214,4.1545,0,6,1.0,0.5187,Commercial Property,0,Grace Period
LOAN_00991,CUST_08603,Auto,22683.47,Car Repair,2021-04-30,530,10.2,72,422.52,3,51072.86,1.1159,1.6641,0,8,0.9309,0.5211,Motorcycle,0,Grace Period
LOAN_00992,CUST_07390,Personal,35582.43,Other Personal,2023-10-27,634,6.09,36,1083.94,3,38219.99,1.1679,1.0649,0,2,0.966,0.1014,Savings Account,1,Default
LOAN_00993,CUST_07677,Auto,49527.9,New Car Purchase,2023-10-26,603,7.26,48,1191.99,2,84610.76,1.0475,1.8136,0,4,0.9698,0.1604,New Vehicle,0,Grace Period
LOAN_00994,CUST_00881,Personal,23103.12,Other Personal,2024-11-06,604,8.35,12,2013.44,3,32580.8,1.5,0.8301,0,6,0.9566,0.4195,Jewelry,0,Grace Period
LOAN_00995,CUST_08102,Personal,15040.46,Relocation,2024-03-17,615,8.35,36,473.75,2,19162.78,0.998,1.3201,0,13,0.9443,0.3019,Savings Account,0,Grace Period
LOAN_00996,CUST_08679,Auto,4892.11,Car Repair,2024-11-15,477,10.9,60,106.12,3,12052.68,0.7008,0.8974,3,35,0.6315,0.7186,Motorcycle,0,Late (31-90 days)
LOAN_00997,CUST_01555,Personal,79061.45,Legal Fees,2024-03-02,668,6.16,36,2410.94,2,150980.37,0.6531,0.8923,0,0,0.975,0.054,Savings Account,0,Current
LOAN_00998,CUST_02063,Personal,38174.2,Education Fees,2021-11-12,558,8.36,12,3327.07,1,44499.77,1.4585,1.3946,0,1,0.9987,0.0425,Savings Account,1,Default
LOAN_00999,CUST_07191,Mortgage,129139.91,Land Purchase,2024-02-01,592,8.35,300,1026.85,1,143300.63,0.3537,3.7068,1,14,0.8778,0.0913,Commercial Property,0,Grace Period
LOAN_01000,CUST_06524,Personal,5442.7,Emergency Fund,2024-02-21,504,9.21,48,135.99,3,6021.49,0.7074,0.7864,0,32,0.906,0.3857,Fixed Deposit,0,Late (31-90 days)
LOAN_01001,CUST_04948,Auto,88898.41,Used Car Purchase,2020-01-17,660,5.6,24,3924.03,2,220711.88,1.5,1.6523,0,1,0.9582,0.1603,New Vehicle,1,Default
LOAN_01002,CUST_03141,Personal,21822.74,Vacation,2024-03-10,579,8.11,36,684.95,3,25023.16,1.1103,0.9826,0,9,0.9773,0.1046,Fixed Deposit,0,Grace Period
LOAN_01003,CUST_06584,Mortgage,93717.96,Refinance,2024-04-19,585,9.21,240,855.9,4,123233.61,1.4302,3.2626,0,2,0.9619,0.2864,Commercial Property,0,Grace Period
LOAN_01004,CUST_00707,Auto,20462.95,Motorcycle,2023-03-06,540,10.16,60,436.39,2,37770.9,0.9583,1.8724,0,9,1.0,0.743,New Vehicle,0,Grace Period
LOAN_01005,CUST_07044,Auto,40674.5,Car Repair,2018-04-16,584,7.94,72,711.96,3,90082.33,0.9505,1.5084,0,9,0.9685,0.4807,Motorcycle,0,Grace Period
LOAN_01006,CUST_04714,Consumer,12698.08,Retail Financing,2024-01-24,589,8.21,24,575.52,1,18410.97,0.4282,0.7874,1,9,0.8776,0.2759,None,0,Grace Period
LOAN_01007,CUST_06849,Auto,12885.53,Car Repair,2023-09-25,593,8.0,72,225.93,2,22811.84,0.3964,0.942,0,10,0.956,0.1086,Motorcycle,0,Grace Period
LOAN_01008,CUST_01756,Auto,4097.15,Car Refinance,2025-02-17,577,8.93,36,130.15,1,6518.65,0.3839,1.0072,2,10,0.7888,0.0654,Motorcycle,0,Grace Period
LOAN_01009,CUST_01956,Personal,19420.63,Relocation,2022-08-28,578,8.0,60,393.78,1,35032.16,0.3072,1.2627,1,32,0.7985,0.1458,Fixed Deposit,0,Late (31-90 days)
LOAN_01010,CUST_03380,Auto,75531.26,New Car Purchase,2021-10-20,636,6.28,72,1261.78,1,156155.85,0.3151,1.572,0,0,1.0,0.1263,Motorcycle,0,Current
LOAN_01011,CUST_09096,Consumer,2614.99,Appliances,2023-06-12,546,8.97,36,83.12,1,3641.48,0.1799,0.4717,1,35,0.8246,0.5619,None,0,Late (31-90 days)
LOAN_01012,CUST_09578,Auto,32058.67,New Car Purchase,2023-09-06,611,6.95,48,766.94,3,37115.33,1.4002,1.6258,0,8,1.0,0.2189,New Vehicle,0,Grace Period
LOAN_01013,CUST_08078,Consumer,25245.61,Furniture,2010-03-18,684,6.56,36,774.44,1,52218.58,0.1868,0.5074,0,0,1.0,0.3442,Furniture,0,Fully Paid
LOAN_01014,CUST_03044,Personal,3945.08,Legal Fees,2015-01-11,577,8.37,48,97.0,1,4124.74,0.1427,0.4838,1,29,0.7833,0.0729,Savings Account,0,Late (16-30 days)
LOAN_01015,CUST_06547,Personal,864.13,Medical Expenses,2024-10-27,547,8.58,60,17.76,3,2044.9,0.3429,0.4635,0,2,1.0,0.8228,None,0,Grace Period
LOAN_01016,CUST_00940,Mortgage,274026.36,Refinance,2024-12-25,597,8.77,240,2425.1,2,401198.67,1.5,7.3715,1,16,0.9037,0.3928,Land,0,Late (16-30 days)
LOAN_01017,CUST_07997,Personal,9744.46,Education Fees,2025-01-28,622,7.66,60,196.0,1,10271.89,0.0705,0.2919,0,2,0.9517,0.5548,Fixed Deposit,0,Grace Period
LOAN_01018,CUST_06939,Auto,13591.78,Car Refinance,2025-05-31,643,6.28,72,227.06,1,16074.7,0.1647,0.8215,0,0,0.9638,0.3283,Motorcycle,1,Default
LOAN_01019,CUST_05397,Mortgage,25612.01,Land Purchase,2025-03-28,499,9.33,180,264.83,4,47431.66,1.5,5.3236,1,20,0.8341,0.4441,Land,1,Default
LOAN_01020,CUST_06447,Mortgage,308395.01,Home Construction,2024-09-05,572,7.72,360,2202.99,1,314363.73,0.6722,7.8421,0,4,0.991,0.1567,Residential Property,0,Grace Period
LOAN_01021,CUST_03184,Personal,30568.03,Education Fees,2022-09-21,641,7.38,24,1373.88,2,37088.84,0.792,0.7342,0,0,1.0,0.3789,Fixed Deposit,1,Default
LOAN_01022,CUST_06123,Auto,114993.82,Commercial Vehicle,2025-03-18,577,8.46,60,2357.06,2,170822.29,0.9757,1.9834,1,11,0.8639,0.1296,Motorcycle,1,Default
LOAN_01023,CUST_09257,Auto,5397.34,Car Refinance,2023-10-27,540,8.82,24,246.13,2,7818.98,1.5,1.7918,0,32,0.873,0.4506,New Vehicle,1,Late (31-90 days)
LOAN_01024,CUST_09935,Consumer,11774.58,Furniture,2023-11-02,571,8.37,36,370.99,2,28136.24,0.3242,0.4287,2,30,0.7664,0.181,None,1,Default
LOAN_01025,CUST_08172,Personal,1369.84,Medical Expenses,2023-07-14,546,8.98,36,43.55,2,2940.0,0.2006,0.263,1,9,0.902,0.4367,Savings Account,0,Grace Period
LOAN_01026,CUST_04429,Auto,40493.67,New Car Purchase,2024-12-08,548,9.96,24,1867.83,1,62647.67,0.738,1.3333,0,7,0.9614,0.4885,New Vehicle,1,Default
LOAN_01027,CUST_02966,Auto,65846.58,Used Car Purchase,2024-10-09,676,5.9,48,1543.39,3,114969.03,1.0094,1.1963,0,3,0.9578,0.3055,Used Vehicle,0,Grace Period
LOAN_01028,CUST_03094,Auto,17238.31,New Car Purchase,2022-11-11,640,6.0,72,285.69,2,41316.43,0.2936,0.7382,0,8,0.9606,0.2709,Motorcycle,0,Grace Period
LOAN_01029,CUST_07266,Consumer,15635.31,Subscription,2013-12-14,631,6.99,24,699.96,3,22639.09,0.3262,0.2024,0,2,0.9972,0.0235,None,0,Grace Period
LOAN_01030,CUST_06814,Consumer,20661.4,Appliances,2025-02-02,581,8.34,12,1800.55,4,20776.2,1.5,0.6781,0,0,0.9581,0.0192,None,0,Fully Paid
LOAN_01031,CUST_02143,Auto,6484.85,Used Car Purchase,2024-06-18,513,10.75,48,166.82,3,13297.54,0.8769,0.9468,0,12,0.9952,0.7526,Used Vehicle,0,Grace Period
LOAN_01032,CUST_09072,Auto,15399.59,New Car Purchase,2025-05-23,568,8.71,72,275.37,4,16127.49,0.9151,1.0661,0,5,1.0,0.1992,Used Vehicle,0,Grace Period
LOAN_01033,CUST_09037,Personal,11225.5,Relocation,2024-11-08,530,8.8,12,980.65,3,24588.95,1.3535,0.4304,0,2,1.0,0.4662,None,1,Default
LOAN_01034,CUST_07421,Auto,94125.66,Motorcycle,2024-04-23,651,7.59,36,2931.79,1,155934.55,0.4985,1.3338,0,1,1.0,0.2278,Motorcycle,0,Grace Period
LOAN_01035,CUST_00124,Mortgage,138290.31,Land Purchase,2019-02-21,637,6.13,180,1176.71,2,248572.43,0.4796,2.3484,0,3,1.0,0.1681,Residential Property,0,Grace Period
LOAN_01036,CUST_02428,Consumer,8116.52,Travel Package,2020-12-04,606,8.33,24,368.31,4,14980.75,0.5372,0.2466,0,10,0.9302,0.2871,None,1,Default
LOAN_01037,CUST_07004,Consumer,19761.22,Electronics Purchase,2023-08-16,585,7.59,12,1715.25,3,45791.46,1.1359,0.3635,0,6,0.9868,0.2284,Furniture,0,Grace Period
LOAN_01038,CUST_00246,Consumer,6864.23,Subscription,2023-07-04,603,7.98,18,405.89,2,14401.25,0.5713,0.4026,0,6,1.0,0.1429,Electronics,1,Default
LOAN_01039,CUST_06696,Personal,566.92,Medical Expenses,2025-01-17,471,10.75,48,14.58,3,884.71,0.2892,0.3124,1,32,0.7935,0.51,Jewelry,0,Late (31-90 days)
LOAN_01040,CUST_00988,Auto,1165.33,Car Refinance,2025-04-13,456,10.75,24,54.18,5,2148.58,1.5,1.1653,0,3,1.0,0.7085,New Vehicle,1,Default
LOAN_01041,CUST_01221,Personal,32633.19,Debt Consolidation,2011-12-22,635,6.55,48,774.65,2,59785.8,0.5715,1.0031,0,0,1.0,0.2616,None,0,Current
LOAN_01042,CUST_01699,Mortgage,55107.34,Second Home,2024-09-03,590,8.92,180,556.32,1,133074.64,0.311,2.567,0,2,0.996,0.2236,Land,0,Grace Period
LOAN_01043,CUST_08116,Mortgage,133154.26,Refinance,2023-09-17,574,8.89,300,1107.41,3,313882.26,1.2677,4.2339,0,0,0.9582,0.0993,Land,0,Current
LOAN_01044,CUST_04293,Auto,12110.47,Car Refinance,2024-04-04,570,8.43,24,550.1,5,26911.96,1.5,1.8033,0,6,1.0,0.1332,New Vehicle,0,Grace Period
LOAN_01045,CUST_05872,Auto,8929.72,Car Repair,2024-02-25,534,9.81,72,164.58,2,12336.32,0.497,1.1235,1,30,0.8331,0.4565,New Vehicle,0,Late (16-30 days)
LOAN_01046,CUST_06117,Personal,22901.16,Education Fees,2024-12-09,602,8.27,48,561.99,2,37486.91,0.7269,1.2342,0,1,0.9601,0.2684,Jewelry,0,Grace Period
LOAN_01047,CUST_03520,Auto,28666.37,Car Refinance,2023-12-26,535,9.1,36,912.92,2,38483.35,1.1335,1.483,0,0,0.9867,0.6653,New Vehicle,1,Default
LOAN_01048,CUST_07465,Personal,20770.66,Legal Fees,2024-02-08,679,6.86,60,409.91,4,33603.04,0.3245,0.3425,0,0,0.9869,0.1602,Fixed Deposit,0,Fully Paid
LOAN_01049,CUST_01717,Mortgage,12725.78,Second Home,2021-03-22,523,10.28,240,125.18,2,28493.76,1.1296,4.785,0,2,1.0,0.7561,Land,1,Default
LOAN_01050,CUST_05753,Personal,1198.56,Vacation,2024-01-14,538,9.53,24,55.05,1,1660.66,0.2129,0.3863,1,24,0.8369,0.7615,Fixed Deposit,0,Late (16-30 days)
LOAN_01051,CUST_05535,Consumer,22771.31,Retail Financing,2024-10-02,639,6.62,12,1966.34,3,56352.54,1.5,0.7908,0,1,0.9846,0.1806,Furniture,0,Grace Period
LOAN_01052,CUST_06508,Personal,9869.09,Vacation,2025-01-26,608,7.37,12,855.62,1,15055.27,0.606,0.5825,0,2,1.0,0.1973,Fixed Deposit,0,Grace Period
LOAN_01053,CUST_04602,Auto,4901.86,Commercial Vehicle,2024-03-15,536,9.59,60,103.16,2,10506.52,0.2845,0.5633,0,5,0.944,0.3854,New Vehicle,0,Grace Period
LOAN_01054,CUST_03752,Consumer,500.0,Subscription,2021-12-04,460,11.46,18,30.37,1,1188.78,0.1641,0.2251,1,35,0.7875,0.387,Furniture,0,Late (31-90 days)
LOAN_01055,CUST_06332,Consumer,12435.97,Subscription,2023-05-09,651,6.75,18,728.39,2,15459.19,0.713,0.5072,0,0,1.0,0.4572,None,0,Current
LOAN_01056,CUST_01473,Consumer,57624.61,Appliances,2023-02-02,611,7.28,18,3389.03,1,98958.27,0.5406,0.766,0,12,1.0,0.5033,Furniture,1,Default
LOAN_01057,CUST_03618,Auto,41908.13,New Car Purchase,2021-02-20,686,6.8,60,825.88,1,56266.08,0.2074,0.8769,0,0,0.9786,0.4826,Used Vehicle,0,Current
LOAN_01058,CUST_00171,Personal,8805.85,Home Improvement,2024-03-27,554,9.1,12,770.49,2,21673.58,1.29,0.6143,1,13,0.8884,0.4037,Jewelry,0,Grace Period
LOAN_01059,CUST_04151,Consumer,15884.52,Subscription,2022-06-07,542,9.95,18,953.61,2,39528.54,0.6597,0.4579,0,11,0.9911,0.64,Furniture,0,Grace Period
LOAN_01060,CUST_01953,Auto,1997.04,Car Refinance,2021-01-26,546,8.31,72,35.32,1,3861.47,0.3926,1.8496,0,1,0.9665,0.7176,Used Vehicle,0,Grace Period
LOAN_01061,CUST_07574,Auto,23926.71,Commercial Vehicle,2022-04-10,596,8.53,72,425.73,2,39474.46,0.6582,1.5414,1,24,0.8271,0.3186,Used Vehicle,0,Late (16-30 days)
LOAN_01062,CUST_05701,Mortgage,40213.38,Second Home,2014-05-28,545,9.39,180,417.25,5,91239.5,1.5,4.6723,0,8,0.9984,0.6134,Land,0,Grace Period
LOAN_01063,CUST_07909,Personal,15019.6,Home Improvement,2020-05-23,538,9.75,12,1318.72,3,28146.49,1.5,0.8963,0,2,0.9662,0.575,Savings Account,0,Grace Period
LOAN_01064,CUST_09571,Consumer,2350.69,Subscription,2022-05-01,581,7.82,6,400.77,1,2849.34,1.3748,0.672,1,15,0.8657,0.2576,None,0,Grace Period
LOAN_01065,CUST_02402,Auto,50912.16,Commercial Vehicle,2020-06-24,584,7.92,60,1030.37,3,95152.58,0.6041,0.8292,0,0,0.9777,0.5892,Used Vehicle,1,Default
LOAN_01066,CUST_03416,Auto,1952.31,Commercial Vehicle,2024-10-19,515,9.11,72,35.3,1,2877.08,0.3741,1.7241,0,3,0.9609,0.5174,New Vehicle,1,Default
LOAN_01067,CUST_06354,Mortgage,35821.29,Land Purchase,2023-10-12,579,8.8,120,449.9,3,47822.53,1.5,4.5024,1,13,0.8333,0.2201,Residential Property,0,Grace Period
LOAN_01068,CUST_05048,Personal,36964.2,Legal Fees,2024-03-26,623,7.46,24,1662.7,1,65441.2,0.6825,1.2645,0,1,0.9506,0.2119,Savings Account,1,Default
LOAN_01069,CUST_03964,Personal,10575.41,Debt Consolidation,2024-04-16,584,7.53,36,329.11,2,20255.36,0.1962,0.2627,0,17,0.9324,0.2354,None,0,Late (16-30 days)
LOAN_01070,CUST_05550,Auto,7210.2,Commercial Vehicle,2025-02-05,546,9.23,24,330.16,2,15608.67,1.5,1.9036,0,19,0.9809,0.9136,Motorcycle,1,Default
LOAN_01071,CUST_06911,Consumer,13466.06,Furniture,2025-05-11,548,8.11,12,1172.08,1,21169.64,0.4309,0.4125,0,13,0.9729,0.8622,Furniture,0,Grace Period
LOAN_01072,CUST_00022,Auto,41395.18,Commercial Vehicle,2021-02-07,625,7.41,24,1861.07,1,84968.11,0.371,0.6876,1,11,0.8315,0.3536,Used Vehicle,0,Grace Period
LOAN_01073,CUST_04113,Mortgage,352348.91,Home Construction,2021-06-18,635,8.05,360,2597.7,1,778470.77,0.5538,6.2597,0,1,0.9975,0.207,Land,0,Grace Period
LOAN_01074,CUST_09953,Auto,14263.22,Used Car Purchase,2024-05-06,656,7.04,36,440.67,3,32592.35,0.7156,0.6434,0,7,0.9687,0.2407,Motorcycle,1,Default
LOAN_01075,CUST_08100,Consumer,686.99,Retail Financing,2021-08-31,470,10.17,6,117.92,1,1023.03,1.4136,0.6862,0,2,0.9571,0.625,None,0,Grace Period
LOAN_01076,CUST_03744,Mortgage,191278.3,Primary Residence,2023-11-04,577,9.18,300,1628.84,1,384989.37,0.8136,7.9618,0,0,1.0,0.3992,Land,1,Default
LOAN_01077,CUST_01531,Personal,4374.75,Debt Consolidation,2025-05-15,575,8.26,48,107.34,3,5573.32,0.3009,0.3407,0,13,0.9971,0.2406,None,0,Grace Period
LOAN_01078,CUST_02574,Mortgage,16552.62,Land Purchase,2024-06-06,501,9.46,300,144.16,4,16982.79,1.4378,3.4393,0,16,0.9675,0.6846,Land,0,Late (16-30 days)
LOAN_01079,CUST_08431,Personal,43720.83,Relocation,2024-08-24,567,8.32,12,3809.68,1,100905.65,1.1422,1.0923,0,8,0.9934,0.154,None,0,Grace Period
LOAN_01080,CUST_02428,Consumer,18594.92,Travel Package,2022-03-21,596,8.41,24,844.48,2,24922.72,0.6159,0.565,1,17,0.8548,0.0361,Furniture,0,Late (16-30 days)
LOAN_01081,CUST_09382,Auto,15508.23,Car Refinance,2024-11-10,610,7.32,60,309.43,2,26504.72,0.3796,0.7928,0,4,0.9795,0.2775,New Vehicle,0,Grace Period
LOAN_01082,CUST_04997,Consumer,4880.25,Travel Package,2024-11-25,659,6.99,6,830.04,1,9014.42,0.2876,0.1409,0,2,1.0,0.3497,Furniture,0,Grace Period
LOAN_01083,CUST_05844,Mortgage,64564.14,Home Construction,2024-03-25,599,8.18,240,547.3,3,151347.55,1.2636,4.1407,0,6,1.0,0.1976,Land,1,Default
LOAN_01084,CUST_08699,Personal,3364.94,Education Fees,2025-03-05,537,10.36,36,109.15,2,5908.66,0.9056,1.1632,1,17,0.8943,0.3619,Jewelry,0,Late (16-30 days)
LOAN_01085,CUST_09052,Personal,8435.92,Home Improvement,2022-04-07,579,9.13,12,738.24,1,13772.87,0.8609,0.8198,2,53,0.6166,0.5158,Fixed Deposit,0,Late (31-90 days)
LOAN_01086,CUST_07141,Personal,41968.12,Vacation,2019-09-03,591,7.41,48,1012.98,1,97907.2,0.2235,0.7717,1,20,0.8914,0.3047,Savings Account,1,Default
LOAN_01087,CUST_06401,Auto,85912.5,New Car Purchase,2023-09-23,643,7.7,36,2680.31,1,175883.61,0.5446,1.4548,1,24,0.8163,0.081,Used Vehicle,0,Late (16-30 days)
LOAN_01088,CUST_07609,Auto,2262.77,Car Refinance,2025-04-20,496,11.16,48,58.66,2,3853.17,1.1386,1.8301,3,51,0.5262,0.9097,New Vehicle,1,Late (31-90 days)
LOAN_01089,CUST_03582,Personal,23057.67,Other Personal,2022-11-27,598,7.81,36,720.52,4,51005.72,1.3743,0.9163,0,2,0.9869,0.2171,Savings Account,0,Grace Period
LOAN_01090,CUST_02797,Personal,21514.67,Education Fees,2025-01-07,608,8.25,48,527.76,4,37606.09,1.0758,0.9137,1,31,0.8346,0.2637,Fixed Deposit,1,Late (31-90 days)
LOAN_01091,CUST_02631,Auto,21883.71,Commercial Vehicle,2025-02-26,634,7.57,72,379.11,1,49328.08,0.1106,0.5322,0,6,0.9945,0.3118,Used Vehicle,0,Grace Period
LOAN_01092,CUST_03120,Personal,9434.82,Medical Expenses,2024-12-01,545,8.26,36,296.79,2,13105.27,0.7884,1.0442,0,5,0.9998,0.6726,None,0,Grace Period
LOAN_01093,CUST_01817,Consumer,2384.0,Electronics Purchase,2023-11-25,547,8.23,18,141.24,3,5946.06,0.4923,0.2308,1,22,0.8093,0.4249,None,0,Late (16-30 days)
LOAN_01094,CUST_04839,Personal,9777.92,Home Improvement,2024-11-07,619,7.43,48,236.1,3,21211.72,0.284,0.3267,0,5,1.0,0.0714,Savings Account,0,Grace Period
LOAN_01095,CUST_09171,Personal,68054.61,Other Personal,2022-10-04,659,5.64,48,1587.06,3,102601.62,1.0369,1.2351,1,12,0.8984,0.0182,Fixed Deposit,0,Grace Period
LOAN_01096,CUST_01833,Auto,21712.41,Car Repair,2025-05-21,648,6.62,48,516.11,2,38437.17,0.6171,1.0816,0,1,0.9988,0.155,Used Vehicle,1,Default
LOAN_01097,CUST_05753,Consumer,1404.67,Furniture,2024-10-07,501,10.2,6,241.13,1,1566.66,0.9327,0.4528,0,39,0.8557,0.687,None,1,Late (31-90 days)
LOAN_01098,CUST_05554,Personal,4324.5,Home Improvement,2025-04-15,515,10.58,60,93.12,1,8099.23,0.1851,0.7163,0,5,1.0,0.7313,Jewelry,1,Default
LOAN_01099,CUST_07108,Auto,19530.54,Commercial Vehicle,2013-07-25,569,8.96,36,620.7,2,43662.9,1.3192,1.7296,0,1,0.9957,0.2175,Motorcycle,1,Default
LOAN_01100,CUST_01499,Personal,32558.81,Home Improvement,2025-04-04,614,6.92,60,643.48,4,36196.76,1.308,1.3788,0,3,1.0,0.1222,None,0,Grace Period
LOAN_01101,CUST_07645,Consumer,1493.19,Subscription,2025-03-08,526,9.84,12,131.16,4,2883.91,1.0593,0.2512,0,5,0.9809,0.4233,Electronics,1,Default
LOAN_01102,CUST_01252,Auto,13716.94,Used Car Purchase,2025-01-09,489,11.4,36,451.68,2,27289.7,1.2877,1.6295,1,18,0.8468,0.5738,New Vehicle,0,Late (16-30 days)
LOAN_01103,CUST_00643,Mortgage,165197.52,Primary Residence,2020-04-30,553,9.74,120,2159.38,1,303016.84,0.8594,5.4789,0,8,0.9467,0.0868,Residential Property,1,Default
LOAN_01104,CUST_00948,Mortgage,91831.24,Refinance,2024-10-07,609,7.16,240,720.81,1,177672.69,0.3343,3.5487,0,1,0.9967,0.6412,Land,0,Grace Period
LOAN_01105,CUST_00243,Personal,3561.68,Wedding,2024-09-02,525,9.9,36,114.76,5,5423.45,0.729,0.3771,1,42,0.787,0.4224,None,0,Late (31-90 days)
LOAN_01106,CUST_07439,Auto,26025.84,Used Car Purchase,2024-04-13,627,7.46,36,809.09,2,29654.5,1.0828,1.4512,0,2,0.9664,0.3069,Used Vehicle,0,Grace Period
LOAN_01107,CUST_06036,Auto,25827.53,Car Refinance,2024-01-28,619,7.17,36,799.49,3,51631.18,1.4542,1.3049,0,0,0.9863,0.1912,New Vehicle,1,Default
LOAN_01108,CUST_06812,Auto,33296.99,Car Repair,2020-07-09,653,7.42,72,574.42,2,53066.65,0.8171,1.9735,0,3,1.0,0.0695,Motorcycle,1,Default
LOAN_01109,CUST_04502,Auto,14980.44,Motorcycle,2023-10-21,507,10.64,24,695.7,4,30974.47,1.5,1.0478,0,4,0.9957,0.5664,Used Vehicle,0,Grace Period
LOAN_01110,CUST_02819,Consumer,15941.51,Appliances,2025-02-01,585,9.17,12,1395.37,1,35808.47,0.3052,0.2905,1,12,0.8557,0.1607,Furniture,0,Grace Period
LOAN_01111,CUST_03599,Personal,42006.86,Relocation,2025-01-25,601,7.94,24,1898.71,1,64325.94,0.7671,1.4143,0,0,0.9579,0.2702,None,0,Current
LOAN_01112,CUST_02324,Consumer,1182.77,Appliances,2025-01-20,494,10.77,36,38.59,5,1556.13,0.4428,0.2262,0,19,0.9035,0.4133,Electronics,1,Default
LOAN_01113,CUST_00648,Mortgage,316447.67,Home Construction,2024-09-15,617,6.99,360,2103.21,3,678980.31,1.4363,6.003,0,14,0.9473,0.1088,Land,1,Default
LOAN_01114,CUST_06721,Personal,500.0,Medical Expenses,2025-05-31,514,9.57,24,22.97,3,1047.77,0.7136,0.4315,0,0,1.0,0.6126,None,0,Current
LOAN_01115,CUST_05222,Consumer,21610.32,Appliances,2020-08-07,620,8.15,12,1881.35,1,52402.53,0.6539,0.6259,0,10,0.9637,0.4768,None,0,Grace Period
LOAN_01116,CUST_04437,Consumer,500.0,Travel Package,2025-04-09,485,10.97,6,86.02,1,958.53,1.0323,0.5,1,30,0.85,0.4802,Furniture,0,Late (16-30 days)
LOAN_01117,CUST_08832,Auto,22297.56,Car Repair,2023-10-13,607,8.41,72,395.43,4,41283.57,0.7218,0.848,0,1,0.9822,0.1719,New Vehicle,0,Grace Period
LOAN_01118,CUST_09270,Auto,30423.08,Used Car Purchase,2024-04-18,653,5.83,48,712.12,1,61719.09,0.1624,0.5782,0,1,1.0,0.3963,New Vehicle,0,Grace Period
LOAN_01119,CUST_01388,Consumer,2589.28,Electronics Purchase,2023-09-28,530,8.91,36,82.23,3,3033.69,0.4711,0.412,0,15,0.9836,0.3746,None,0,Grace Period
LOAN_01120,CUST_07288,Mortgage,301383.17,Investment Property,2022-11-03,686,5.75,300,1896.02,4,476960.34,0.9163,3.0343,0,0,0.9836,0.1798,Commercial Property,0,Fully Paid
LOAN_01121,CUST_04119,Personal,11637.13,Relocation,2024-07-14,607,7.38,12,1008.96,2,27881.39,0.7192,0.3456,0,4,0.9575,0.0906,Fixed Deposit,1,Default
LOAN_01122,CUST_08316,Consumer,11926.22,Subscription,2022-10-21,608,8.24,24,540.7,3,15211.75,0.962,0.5894,0,0,0.9624,0.1737,None,0,Current
